timestamp,sender,receiver,message_type,content
35,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
35,AGV 2,UAV 1,CHARGING_START,Start charging
35,UAV 2,Control Center,LOW_BATTERY,Battery level: 21.4%
36,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.3%"
36,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
36,AGV 2,UAV 1,CHARGING_START,Start charging
36,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 3.5%"
36,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
36,AGV 2,UAV 2,CHARGING_START,Start charging
37,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 13.8%"
37,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
37,AGV 2,UAV 1,CHARGING_START,Start charging
37,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 5.5%"
37,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
37,AGV 2,UAV 2,CHARGING_START,Start charging
38,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 14.5%"
38,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
38,AGV 2,UAV 1,CHARGING_START,Start charging
38,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 7.7%"
38,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
38,AGV 2,UAV 2,CHARGING_START,Start charging
39,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.2%"
39,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
39,AGV 2,UAV 1,CHARGING_START,Start charging
39,UAV 2,Control Center,CHARGING_REQUEST,"Request charging, battery: 9.8%"
39,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 2
39,AGV 2,UAV 2,CHARGING_START,Start charging
40,UAV 1,Control Center,CHARGING_REQUEST,"Request charging, battery: 15.9%"
40,Control Center,AGV 2,CHARGING_COMMAND,Charge UAV 1
